sql_category_name,sql_title,sql_rating,sql_price_gbp,sql_price_inr,sql_in_stock,pandas_category_name,pandas_title,pandas_rating,pandas_price_gbp,pandas_price_inr,pandas_in_stock
mystery_3,What Happened on Beale Street (Secrets of the South Mysteries #2),5,25.37,2676.54,1,mystery_3,What Happened on Beale Street (Secrets of the South Mysteries #2),5,25.37,2676.54,1
mystery_3,The Silkworm (Cormoran Strike #2),5,23.05,2431.78,1,mystery_3,The Silkworm (Cormoran Strike #2),5,23.05,2431.78,1
mystery_3,The Girl You Lost,5,12.29,1296.59,1,mystery_3,The Girl You Lost,5,12.29,1296.59,1
mystery_3,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,57.7,6087.35,1,mystery_3,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,57.7,6087.35,1
mystery_3,The Past Never Ends,4,56.5,5960.75,1,mystery_3,The Past Never Ends,4,56.5,5960.75,1
mystery_3,Murder at the 42nd Street Library (Raymond Ambler #1),4,54.36,5734.98,1,mystery_3,Murder at the 42nd Street Library (Raymond Ambler #1),4,54.36,5734.98,1
mystery_3,Sharp Objects,4,47.82,5045.01,1,mystery_3,Sharp Objects,4,47.82,5045.01,1
mystery_3,The Murder of Roger Ackroyd (Hercule Poirot #4),4,44.1,4652.55,1,mystery_3,The Murder of Roger Ackroyd (Hercule Poirot #4),4,44.1,4652.55,1
mystery_3,The Mysterious Affair at Styles (Hercule Poirot #1),4,24.8,2616.4,1,mystery_3,The Mysterious Affair at Styles (Hercule Poirot #1),4,24.8,2616.4,1
mystery_3,Delivering the Truth (Quaker Midwife Mystery #1),4,20.89,2203.9,1,mystery_3,Delivering the Truth (Quaker Midwife Mystery #1),4,20.89,2203.9,1
mystery_3,Boar Island (Anna Pigeon #19),3,59.48,6275.14,1,mystery_3,Boar Island (Anna Pigeon #19),3,59.48,6275.14,1
mystery_3,The Exiled,3,43.45,4583.98,1,mystery_3,The Exiled,3,43.45,4583.98,1
mystery_3,Most Wanted,3,35.28,3722.04,1,mystery_3,Most Wanted,3,35.28,3722.04,1
mystery_3,Poisonous (Max Revere Novels #3),3,26.8,2827.4,1,mystery_3,Poisonous (Max Revere Novels #3),3,26.8,2827.4,1
mystery_3,Extreme Prey (Lucas Davenport #26),3,25.4,2679.7,1,mystery_3,Extreme Prey (Lucas Davenport #26),3,25.4,2679.7,1
mystery_3,Blood Defense (Samantha Brinkman #1),3,20.3,2141.65,1,mystery_3,Blood Defense (Samantha Brinkman #1),3,20.3,2141.65,1
mystery_3,The Girl In The Ice (DCI Erika Foster #1),3,15.85,1672.18,1,mystery_3,The Girl In The Ice (DCI Erika Foster #1),3,15.85,1672.18,1
mystery_3,Playing with Fire,3,13.71,1446.41,1,mystery_3,Playing with Fire,3,13.71,1446.41,1
mystery_3,The Last Mile (Amos Decker #2),2,54.21,5719.16,1,mystery_3,The Last Mile (Amos Decker #2),2,54.21,5719.16,1
mystery_3,In the Woods (Dublin Murder Squad #1),2,38.38,4049.09,1,mystery_3,In the Woods (Dublin Murder Squad #1),2,38.38,4049.09,1
mystery_3,The Widow,2,27.26,2875.93,1,mystery_3,The Widow,2,27.26,2875.93,1
mystery_3,Career of Evil (Cormoran Strike #3),2,24.72,2607.96,1,mystery_3,Career of Evil (Cormoran Strike #3),2,24.72,2607.96,1
mystery_3,A Study in Scarlet (Sherlock Holmes #1),2,16.73,1765.02,1,mystery_3,A Study in Scarlet (Sherlock Holmes #1),2,16.73,1765.02,1
mystery_3,1st to Die (Women's Murder Club #1),1,53.98,5694.89,1,mystery_3,1st to Die (Women's Murder Club #1),1,53.98,5694.89,1
mystery_3,"In a Dark, Dark Wood",1,19.63,2070.96,1,mystery_3,"In a Dark, Dark Wood",1,19.63,2070.96,1
mystery_3,The Cuckoo's Calling (Cormoran Strike #1),1,19.21,2026.66,1,mystery_3,The Cuckoo's Calling (Cormoran Strike #1),1,19.21,2026.66,1
mystery_3,A Murder in Time,1,16.64,1755.52,1,mystery_3,A Murder in Time,1,16.64,1755.52,1
mystery_3,That Darkness (Gardiner and Renner #1),1,13.92,1468.56,1,mystery_3,That Darkness (Gardiner and Renner #1),1,13.92,1468.56,1
mystery_3,Hide Away (Eve Duncan #20),1,11.84,1249.12,1,mystery_3,Hide Away (Eve Duncan #20),1,11.84,1249.12,1
mystery_3,Tastes Like Fear (DI Marnie Rome #3),1,10.69,1127.79,1,mystery_3,Tastes Like Fear (DI Marnie Rome #3),1,10.69,1127.79,1
travel,"1,000 Places to See Before You Die",5,26.08,2751.44,1,travel,"1,000 Places to See Before You Die",5,26.08,2751.44,1
travel,A Year in Provence (Provence #1),4,56.88,6000.84,1,travel,A Year in Provence (Provence #1),4,56.88,6000.84,1
travel,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4,49.43,5214.86,1,travel,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4,49.43,5214.86,1
travel,See America: A Celebration of Our National Parks & Treasured Sites,3,48.87,5155.78,1,travel,See America: A Celebration of Our National Parks & Treasured Sites,3,48.87,5155.78,1
travel,Neither Here nor There: Travels in Europe,3,38.95,4109.23,1,travel,Neither Here nor There: Travels in Europe,3,38.95,4109.23,1
travel,Under the Tuscan Sun,3,37.33,3938.31,1,travel,Under the Tuscan Sun,3,37.33,3938.31,1
travel,It's Only the Himalayas,2,45.17,4765.44,1,travel,It's Only the Himalayas,2,45.17,4765.44,1
travel,A Summer In Europe,2,44.34,4677.87,1,travel,A Summer In Europe,2,44.34,4677.87,1
travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2,36.94,3897.17,1,travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2,36.94,3897.17,1
travel,The Great Railway Bazaar,1,30.54,3221.97,1,travel,The Great Railway Bazaar,1,30.54,3221.97,1
travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1,23.21,2448.66,1,travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1,23.21,2448.66,1
